ID_recipient_account,ID_recipient_country,ID_recipient_subsidiary,ID_recipient_institute,Abroad,SEPA,Causal,Currency,Equivalent_value,Channel,Instant,UserAgent,Timestamp,ID_sender_account,ID_sender_subsidiary,Label_fraud_post
IBAN96221780198685191199,UY,3M8S7,SEUT,1,1,Newspaper unit whatever face off range. Eye wide main call great. Project successful history attention throughout above business well.,EUR,1479.67,O,1,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ln-CD) AppleWebKit/531.10.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.10.2",2024/03/26 21:46:39,IBAN93866021843846356499,NGIL9,0
IBAN92057905176149701885,ZW,KAGQB,AO3F,1,1,Story food certainly if suggest debate contain. Well break determine establish.,GBP,7181.33,A,1,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_6 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/38.0.890.0 Mobile/87H822 Safari/534.2",2024/05/12 07:34:39,IBAN46600036964267334793,ZRRR2,0
IBAN37925043697699142476,AL,ENN7M,JFJZ,0,0,Personal cause create probably none might. Professor become today building American improve prove past.,GBP,9246.21,C,1,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0 rv:2.0; zh-CN) AppleWebKit/533.29.6 (KHTML, like Gecko) Version/5.0 Safari/533.29.6",2024/03/01 09:49:01,IBAN58543575739607690621,LQ5OF,0
IBAN41699364855928741332,TO,TOHNT,GLLF,0,1,"Everybody how now recognize media. Also yet subject.
Stage hotel sea tell.",USD,1134.6,W,1,"Mozilla/5.0 (Linux; Android 3.2.5) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/20.0.896.0 Safari/534.1",2024/07/07 21:46:31,IBAN03823183541479909215,2VZE4,0
IBAN23437161227375840473,LY,H9V3Y,RYRO,1,1,Describe author mission history yes next. Third light which take. Control back move kitchen teach test.,USD,9145.36,C,1,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/533.48.7 (KHTML, like Gecko) Version/5.0 Safari/533.48.7",2024/07/21 09:39:04,IBAN98200538585109505724,H1BIS,0
IBAN52986804938300064217,SY,20FWA,QIQS,1,1,Require control government stock fire. Interest cause myself picture yourself.,USD,9872.38,C,0,Opera/8.19.(Windows 98; lij-IT) Presto/2.9.190 Version/12.00,2024/11/03 12:44:02,IBAN87913765026183183283,SHROM,0
IBAN26276809914043648787,MU,RMI9R,R0ON,1,0,"Board push exist wish bed financial nor. Feel himself best kitchen.
Per reveal skin teach.",CHF,2285.52,O,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3 rv:5.0; hr-HR) AppleWebKit/535.4.5 (KHTML, like Gecko) Version/5.1 Safari/535.4.5",2024/02/14 00:28:08,IBAN09167942108303012466,OZMO8,0
IBAN29733017651790821152,ER,HJTH2,,1,0,Military college admit travel get. Though kind poor friend each begin.,USD,9665.56,F,0,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 11.0; Trident/4.0),2024/06/23 09:45:06,IBAN29185385532262734220,7B2LG,1
IBAN04387077216767725756,NP,SKQZT,JOOF,1,1,Better fill role dream him. Radio reason PM model.,GBP,2853.33,C,0,Mozilla/5.0 (Android 2.3.7; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0,2024/08/26 15:04:46,IBAN21093153207670504433,RPKLG,0
IBAN46889144360560673904,RO,K657G,94JN,0,1,System test when power should water. Provide according probably operation authority this do.,CHF,6973.93,F,1,,2024/06/04 04:46:48,IBAN52400760065606786586,,0
IBAN45695131560764597387,VE,Z5KDG,,1,0,Nearly beyond moment window agency year open. After here course mother. Husband daughter small newspaper radio ability.,CHF,984.05,C,1,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.0),2024/03/25 03:38:36,IBAN99015860477873165972,Y8JOC,0
IBAN04002114872892236512,HU,8J9EX,3RMK,0,0,"Throughout five month all. Market there growth camera.
Himself quickly manager work change argue. Brother eye follow source table.",EUR,7972.9,O,0,"Mozilla/5.0 (Windows CE) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/29.0.890.0 Safari/535.0",2024/02/21 19:52:08,IBAN24388655520248006030,CGQLY,0
IBAN37946796811373472352,VN,JYYZY,BTZS,1,0,Miss remain training. Level nature society firm evidence sometimes service. You game Mrs stop cost.,USD,5682.82,F,1,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0),2024/05/13 12:41:21,IBAN43433893477030849867,R755Z,1
IBAN59211447988789959213,SE,9F7IH,AFQ5,1,0,"Best property radio ground. Participant either four manager usually somebody.
Adult Mr somebody lose one person. Policy range big.",CHF,8919.05,A,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_7 rv:4.0; ps-AF) AppleWebKit/531.21.2 (KHTML, like Gecko) Version/4.0.1 Safari/531.21.2",2024/01/12 03:25:54,IBAN57985424517759299884,ET73P,1
IBAN84593430802763889168,GW,SW5XN,S7LD,0,1,Modern break use for benefit. Rich force street environmental any page in natural.,JPY,8271.24,W,1,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/4.0),2024/03/12 02:24:58,IBAN11781814227345321971,HM5BT,0
IBAN93482638261378380248,TZ,6NXY3,KQIZ,1,0,Moment second serve sport black action history campaign. Represent price town citizen minute weight.,JPY,4973.71,O,0,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; tt-RU) AppleWebKit/534.26.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.26.5",2024/01/25 12:59:44,IBAN46546184700132012195,0NX2N,0
IBAN55409112736800262770,BY,OQNI7,R286,1,1,"Become number series. Ready nor whole that.
Similar success third business meet maybe thank.",JPY,9270.47,A,1,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; apn-IN) AppleWebKit/531.14.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.14.1",2024/03/28 05:47:47,IBAN00296227702203652720,XC12E,0
IBAN34423695075759309911,SL,OOGWY,J8XW,0,1,"Time you how study. Clearly matter cut participant.
Try whom blood lot. Talk should radio speech claim tonight someone. Sing as break.",USD,4159.17,O,1,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_0 rv:6.0; quz-PE) AppleWebKit/531.38.4 (KHTML, like Gecko) Version/4.0 Safari/531.38.4",2024/10/29 19:46:07,IBAN53697410954948752075,CTO9Y,1
IBAN39062873882394113074,UG,,NQZ5,1,1,Family author believe their.,USD,5779.0,W,0,,2024/03/17 02:50:57,IBAN61052020231865778994,M9FHL,0
IBAN26718995053335447542,GH,S6BCG,OM1N,1,0,"Light give fund civil increase. Yes animal civil improve. Student reality red film author.
Money our only change condition hundred health.",CHF,1134.0,F,0,,2024/08/06 13:45:24,IBAN88275746469986341579,NJETA,0
IBAN69590318143360983839,AG,NU9UO,IOW6,1,1,Night sit newspaper sense protect argue name although. Study certain bad read seat present.,USD,2914.84,A,1,Opera/8.77.(Windows NT 6.0; ht-HT) Presto/2.9.184 Version/12.00,2024/08/09 04:33:17,IBAN85952666593630271448,0PT88,1
IBAN36144632426588901888,LT,LYFQN,UW58,1,1,We many heavy city foot news place. Eight general executive pretty under still or decide.,CHF,8750.87,A,0,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/6685-01-12 09:25:20.569000 Firefox/3.6.17,2024/11/14 15:56:08,IBAN38996323536226135313,,1
IBAN98651382707149059569,TN,XO1DT,0JWS,1,0,According record yourself budget personal real. Parent well indicate man commercial across avoid. Decade do international which think.,JPY,9190.08,O,0,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1),2024/10/19 07:28:16,IBAN30444804801094172298,WBE44,1
IBAN99514608522736281767,OM,9B5BG,GDUR,1,1,Religious material stand right. Pretty offer visit. Price fly we black east key. Unit financial indeed better two.,CHF,9936.09,W,0,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/3.0),2024/10/03 19:00:11,IBAN52709030605687069064,39XNU,0
IBAN71395417211117047374,AE,DZ10A,G2F6,0,0,Wide kind fight point seem focus. Attorney behind us. Analysis only other.,CHF,3439.85,W,0,Opera/9.32.(Windows NT 5.2; zu-ZA) Presto/2.9.171 Version/10.00,2024/06/18 07:41:36,IBAN13575782096574405811,LPX2M,1
IBAN32002099529957122310,LR,RVUVN,JOQZ,0,0,That expert hotel investment. Show side follow huge never always tell. National safe chair material what national debate.,EUR,352.06,F,0,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.0),2024/09/30 12:23:24,IBAN60514994393343790932,ZVOW9,0
IBAN00843397045652610915,VA,YYHWD,PZ8R,0,1,Study let peace him you they detail. Worker together low so me itself character image.,GBP,8953.79,W,0,Opera/9.15.(X11; Linux x86_64; af-ZA) Presto/2.9.163 Version/12.00,2024/06/22 10:23:34,IBAN96640532219120092273,T99BN,0
IBAN24767134876981933786,GY,X2D5N,FZ4D,0,1,Thing girl us every simply. Identify charge here college former.,USD,747.65,A,0,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2 rv:6.0; kn-IN) AppleWebKit/531.42.1 (KHTML, like Gecko) Version/4.0 Safari/531.42.1",2024/01/03 07:43:02,IBAN44784100599151426637,BKCQE,0
IBAN45283022903844874643,KZ,490BK,MNY6,0,0,Sometimes anything serious should market. Heavy us hit budget stay financial. Baby thousand item game everything want character.,EUR,9042.22,C,0,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/8865-05-20 11:17:23.829163 Firefox/3.8,2024/04/09 13:08:10,IBAN34291959876417354118,I107E,1
IBAN49893534314919712540,MC,KXM1P,BHLK,1,1,She agency reason table ready shake trip. Police beat artist blood nearly population. Movie study drop event.,JPY,9342.02,O,0,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),2024/06/26 20:56:13,IBAN70397135893996270553,IDMWK,0
IBAN48151196371836979807,CV,DI9SZ,4D2M,1,1,Body put drug where item region others. Whether usually face current task. Send step economy.,USD,2926.57,W,0,Opera/9.58.(Windows 98; Win 9x 4.90; mag-IN) Presto/2.9.186 Version/11.00,2024/03/15 22:59:16,IBAN75382939540553979529,MGW6E,1
IBAN95290414636617929262,MK,FI3KX,BPXT,0,1,Simply else check three market wall interview movement. Wall age eye single recent.,CHF,504.12,C,0,Opera/9.56.(Windows NT 5.01; om-ET) Presto/2.9.176 Version/10.00,2024/11/05 17:21:21,IBAN82386096479647720959,EYXYW,1
IBAN64035943102103495845,BB,TJ381,1X8A,0,1,"Return ability despite while senior enjoy threat team. Television only hair.
Trip those speak finish center shake western.",JPY,4302.58,A,1,,2024/09/25 14:35:41,IBAN56458082527862135655,,1
IBAN14529818454468478525,MR,H2UYD,D1JV,1,0,Theory building case now Congress team. Plan yet although writer him color writer. Dog Congress attack early sport region.,JPY,1539.37,A,0,Opera/9.35.(X11; Linux x86_64; tr-CY) Presto/2.9.170 Version/10.00,2024/03/01 04:33:18,IBAN09092243371044076163,BRPY2,1
IBAN88087359479666612560,MW,MEOZE,3X1S,1,1,Exactly crime another fine possible thing month. Cause director room deal side plant ago baby. Year these believe game.,EUR,1867.59,O,0,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.0),2024/06/20 02:59:26,IBAN68251041203053987414,1M4UC,1
IBAN86835107256385245800,CI,WFOKZ,KINQ,1,0,"From manage after hard brother certainly.
Water senior will produce everybody give. Mean company structure your institution.",USD,2476.92,A,0,Mozilla/5.0 (Windows 95; st-ZA; rv:1.9.1.20) Gecko/7763-11-11 20:24:04.370331 Firefox/15.0,2024/04/30 06:17:41,IBAN51964604939459054120,01ZOG,0
IBAN10394736343350950854,BG,RBRCU,YLT4,0,0,Walk place believe yes. Painting imagine weight represent.,EUR,5994.37,W,1,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/5.1),2024/04/06 05:34:00,IBAN06837289949840886296,EB76B,1
IBAN63585143187303333108,MH,LH7WY,LUE0,1,1,"Partner five level state better. Dog what base education will seem.
Base model treatment. Clearly expert cover talk time.",GBP,3687.34,A,1,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.0),2024/08/06 18:47:53,IBAN68249994743944482912,0L5XD,0
IBAN57296104681296278233,PK,EWNLG,,1,0,Exactly foreign happen yard. Situation include cultural together sit support rate. Available member business different firm forget.,USD,4656.81,F,0,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/535.19.1 (KHTML, like Gecko) Version/5.0.1 Safari/535.19.1",2024/11/13 16:11:52,IBAN83271304958107025484,C8QRJ,1
IBAN30255324208811650691,TH,R8IPY,BHKH,0,1,Clearly only short second. Marriage nothing site nation street number sing. Heavy range fear total around sister environmental.,CHF,8563.5,O,1,Opera/9.26.(X11; Linux i686; ti-ET) Presto/2.9.187 Version/10.00,2024/09/21 07:45:22,IBAN91032392239434188328,93QUT,0
IBAN47830812903185675528,SB,80U9B,HZM8,0,1,Board away risk three very. Mission interview talk fill toward trade. Discussion husband girl only available.,EUR,51.6,F,0,,2024/05/28 20:08:21,IBAN98768182134683201801,OB1QX,1
IBAN42961327715037459172,DK,,NPR6,0,1,"Sure well knowledge compare debate. Computer value fire.
Number choice support participant series. Little various others girl.",CHF,4572.35,A,0,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.0),2024/01/02 23:27:16,IBAN54494365521142956147,361ZV,0
IBAN43111752416328039224,MZ,08JDO,LJIB,0,1,Little no team character indicate in yard. Room check control and course. Nature option need many most.,GBP,3090.73,A,1,Opera/8.24.(Windows 95; sv-FI) Presto/2.9.169 Version/11.00,2024/01/02 08:10:34,IBAN70459153831818406600,3TN9Q,1
IBAN27187924393559919906,TW,FWK60,YZ5Y,1,0,After speech environmental despite again free close. Meet trip catch two still.,USD,3233.53,F,0,,2024/02/08 21:18:20,IBAN33458656708254497621,464Y1,1
IBAN87704547379568348047,BE,1O5L0,4I3P,0,0,Possible compare card news manage. Score consumer hard. As reflect bit throughout for us.,USD,8163.11,F,0,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; it-CH) AppleWebKit/535.20.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6535.20.3",2024/06/22 08:51:52,IBAN88552406852611455084,DNPQ2,1
IBAN82351485320476397086,NZ,XY3YI,S6JW,0,0,Put two daughter send respond single question. Poor painting study hit center college however.,JPY,2473.58,O,0,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.0),2024/04/12 20:57:31,IBAN17453468423234989049,BEGJ3,1
IBAN11852574562146453279,SE,NVLOQ,XIZ3,1,0,Police charge him center which. Challenge field five possible democratic to.,EUR,5397.36,A,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/17.0.867.0 Safari/533.2",2024/01/28 03:08:31,IBAN17558948750549171483,TKJDM,0
IBAN23381106642480669457,KR,6L1CX,797N,0,0,Cause half note impact law trip. Message brother give opportunity north force.,CHF,3850.02,O,0,,2024/09/07 01:09:46,IBAN51331690014241517702,,0
IBAN49293571680904516029,LC,IPB7Q,QL5E,1,0,Market himself herself two training. Ask my outside be black yard.,USD,2205.06,F,1,,2024/09/07 19:33:48,IBAN95084357711030223322,9ZZ2U,1
IBAN34581577386548391069,DZ,9FJTN,CNVT,1,1,Feeling walk finally necessary size cause. Show enter test stock everything. Gas answer rather record whole blue.,EUR,8401.7,W,1,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.0),2024/08/13 21:00:56,IBAN42825531116942606896,NWE84,1
IBAN82111814833393667639,ES,,XMUK,0,1,History sit sport order industry media. Environment cut director wait. Simple big last identify.,EUR,8390.86,W,1,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_9) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/28.0.866.0 Safari/536.0",2024/08/20 19:10:35,IBAN55668685311566159049,,0
